recipe_id,step_id,step_number,timer_seconds,is_passive,title_en,body_en,title_nl,body_nl,title_de,body_de,title_fr,body_fr
it_tagliatelle_ragu_bolognese,s1,1,600,FALSE,Prep the soffritto,"Finely chop the onion, carrot, and celery into an even mince so they cook gently and melt into the sauce.",Bereid de soffritto,"Snijd de ui, wortel en bleekselderij heel fijn zodat ze zacht garen en oplossen in de saus.",Bereite das Soffritto vor,"Zwiebel, Karotte und Sellerie sehr fein hacken, damit sie sanft garen und in der Sauce praktisch verschwinden.",Préparer le soffritto,"Hacher très finement l oignon, la carotte et le céleri pour qu ils cuisent doucement et fondent dans la sauce."
it_tagliatelle_ragu_bolognese,s2,2,420,FALSE,Render pancetta,"Warm the heavy pot over medium heat, add pancetta, and cook until the fat renders and the pancetta turns lightly golden.",Smelt het vet uit de pancetta,"Verwarm de zware pan op middelhoog vuur, voeg pancetta toe en bak tot het vet is uitgesmolten en de pancetta licht goud kleurt.",Pancetta auslassen,"Den schweren Topf bei mittlerer Hitze erwärmen, Pancetta zugeben und braten, bis das Fett ausgelassen ist und die Stücke leicht goldgelb sind.",Faire fondre la pancetta,"Chauffer la cocotte à feu moyen, ajouter la pancetta et cuire jusqu à ce que la graisse soit rendue et que la pancetta soit légèrement dorée."
it_tagliatelle_ragu_bolognese,s3,3,600,FALSE,Soften the vegetables,"Add olive oil and butter, then add the chopped onion, carrot, and celery. Cook slowly, stirring, until soft and fragrant without browning.",Fruit de groenten,"Voeg olijfolie en boter toe, doe dan de gesneden ui, wortel en bleekselderij erbij en gaar langzaam al roerend tot zacht en geurig zonder te kleuren.",Gemüse weich schmoren,"Olivenöl und Butter zugeben, dann Zwiebel, Karotte und Sellerie einrühren. Langsam unter Rühren garen, bis alles weich und duftend ist, ohne zu bräunen.",Faire suer les légumes,"Ajouter l huile d olive et le beurre, puis l oignon, la carotte et le céleri. Cuire lentement en remuant jusqu à ce que ce soit tendre et parfumé, sans coloration."
it_tagliatelle_ragu_bolognese,s4,4,900,FALSE,Brown the meat,Add ground beef and ground pork. Break up the meat and cook until it loses its raw color and starts to brown lightly.,Bak het vlees aan,"Voeg rundergehakt en varkensgehakt toe, maak het vlees los en bak tot het niet meer rauw oogt en licht begint te kleuren.",Fleisch anbraten,"Rinderhack und Schweinehack zugeben, zerteilen und braten, bis es nicht mehr roh aussieht und leicht zu bräunen beginnt.",Faire revenir la viande,Ajouter le boeuf haché et le porc haché. Émietter et cuire jusqu à ce que la viande ne soit plus rouge et commence à dorer légèrement.
it_tagliatelle_ragu_bolognese,s5,5,300,TRUE,Reduce the wine,Pour in the wine and let it simmer until the sharp alcohol smell fades and most of the liquid has reduced.,Laat de wijn inkoken,Schenk de wijn erbij en laat zacht pruttelen tot de alcoholgeur weg is en het meeste vocht is ingekookt.,Wein einkochen,"Wein angießen und köcheln lassen, bis der stechende Alkoholgeruch verflogen ist und der Großteil der Flüssigkeit reduziert ist.",Réduire le vin,Verser le vin et laisser frémir jusqu à ce que l odeur d alcool s estompe et que la majeure partie du liquide ait réduit.
it_tagliatelle_ragu_bolognese,s6,6,60,FALSE,Cook the tomato paste,"Stir in tomato paste and cook briefly, scraping the bottom, until it darkens slightly.",Bak de tomatenpuree,"Roer de tomatenpuree erdoor en bak kort, schraap de bodem mee, tot de puree iets donkerder wordt.",Tomatenmark rösten,"Tomatenmark einrühren und kurz unter Rühren rösten, dabei den Topfboden abkratzen, bis es leicht nachdunkelt.",Cuire le concentré de tomate,Incorporer le concentré de tomate et cuire brièvement en grattant le fond jusqu à ce qu il fonce légèrement.
it_tagliatelle_ragu_bolognese,s7,7,5400,TRUE,Slow simmer the ragù,"Add crushed tomatoes, a pinch of salt, and a little pepper. Bring to a gentle simmer, then cook partially covered, stirring occasionally, until rich and thick.",Laat de ragù zacht pruttelen,"Voeg tomaten uit blik toe met een snuf zout en wat peper, breng op zacht pruttelen en laat half afgedekt garen, roer af en toe, tot rijk en dik.",Ragù sanft schmoren,"Dosentomaten zugeben, mit einer Prise Salz und etwas Pfeffer würzen, sanft aufkochen und dann halb zugedeckt leise köcheln lassen, gelegentlich rühren, bis das Ragù sämig und kräftig ist.",Mijoter le ragù,"Ajouter les tomates concassées, une pincée de sel et un peu de poivre. Porter à petit frémissement puis cuire à demi couvert en remuant de temps en temps jusqu à obtenir une sauce riche et épaisse."
it_tagliatelle_ragu_bolognese,s8,8,3600,TRUE,Finish with milk,"Stir in milk and continue simmering gently until the ragù is silky and the fat looks well integrated, adjusting seasoning as needed.",Werk af met melk,"Roer melk erdoor en laat nog zacht pruttelen tot de ragù zijdezacht is en het vet mooi is opgenomen, proef en breng op smaak.",Mit Milch vollenden,"Milch einrühren und weiter sanft köcheln lassen, bis das Ragù seidig ist und das Fett gut eingebunden wirkt, nach Bedarf abschmecken.",Finir au lait,"Incorporer le lait et poursuivre le mijotage doux jusqu à ce que le ragù soit soyeux et que la graisse soit bien liée, puis ajuster l assaisonnement."
it_tagliatelle_ragu_bolognese,s9,9,900,TRUE,Boil water,Bring water to a rolling boil in a large pot and season it well with salt.,Kook water,Breng water in een grote pan aan de kook en zout het water goed.,Wasser kochen,Wasser in einem großen Topf sprudelnd aufkochen und kräftig salzen.,Faire bouillir l eau,Porter l eau à gros bouillons dans une grande marmite et saler généreusement.
it_tagliatelle_ragu_bolognese,s10,10,180,TRUE,Cook the tagliatelle,"Add tagliatelle and cook until al dente, stirring gently. Reserve a little starchy pasta water, then drain.",Kook de tagliatelle,"Voeg tagliatelle toe en kook al dente, roer voorzichtig. Bewaar wat zetmeelrijk pastawater en giet af.",Tagliatelle kochen,"Tagliatelle zugeben und al dente garen, dabei vorsichtig rühren. Etwas stärkehaltiges Nudelwasser aufbewahren und abgießen.",Cuire les tagliatelle,Ajouter les tagliatelle et cuire al dente en remuant doucement. Réserver un peu d eau de cuisson amidonnée puis égoutter.
